■ 역대 박스오피스 (공식통계 기준),,,,,,,,,,,
- 조회일: 2021-04-19,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,
▶ 검색조건 [ 영화구분 : 일반영화???국적 : 전체 ],,,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,,스크린수,,대표국적,국적,배급사,
,,,,(S:서울 기준),,(S:서울 기준),,,,,
46,트랜스포머: 패자의 역습,2009-06-24,"51,478,531,663",,"7,505,700",,"1,129",미국,미국,CJ ENM,액션
47,밀정,2016-09-07,"61,269,783,831",,"7,500,420",,"1,444",한국,"한국,미국",워너브러더스 코리아(주),액션
48,최종병기 활,2011-08-10,"55,827,861,500",,"7,470,633",,615,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션
49,트랜스포머,2007-06-28,0,,"7,440,531",S,160,미국,미국,CJ ENM,액션
50,써니,2011-05-04,"54,034,235,100",,"7,362,467",,472,한국,한국,씨제이이앤엠(주),코미디
51,화려한 휴가,2007-07-25,0,,"7,307,993",S,116,한국,한국,CJ ENM,드라마
52,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820",,"7,258,678",,"1,965",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션
53,1987,2017-12-27,"58,165,581,145",,"7,231,638",,"1,299",한국,한국,씨제이이앤엠(주),드라마
54,베를린,2013-01-30,"52,354,931,637",,"7,166,199",,894,한국,"한국,독일",씨제이이앤엠(주),액션
55,터널,2016-08-10,"57,529,484,417",,"7,120,508",,"1,105",한국,한국,(주)쇼박스,드라마
56,어벤져스,2012-04-26,"59,557,853,478",,"7,074,867",,967,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",액션
57,내부자들,2015-11-19,"56,598,130,057",,"7,072,021",,"1,075",한국,한국,(주)쇼박스,액션
58,인천상륙작전,2016-07-27,"55,101,410,303",,"7,049,643",,"1,049",한국,한국,씨제이이앤엠(주),액션
59,럭키,2016-10-13,"56,444,461,256",,"6,975,290",,"1,158",한국,한국,(주)쇼박스,코미디
60,은밀하게 위대하게,2013-06-05,"48,700,887,413",,"6,959,083",,"1,341",한국,한국,(주)쇼박스,액션
61,곡성,2016-05-12,"55,863,520,382",,"6,879,908",,"1,485",한국,"한국,미국",이십세기폭스코리아(주),스릴러
62,범죄도시,2017-10-03,"56,318,014,149",,"6,879,841",,"1,315",한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",액션
63,타짜,2006-09-28,0,,"6,847,777",S,147,한국,한국,CJ ENM,드라마
64,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,768,628,939",,"6,686,912",,825,한국,한국,CJ ENM,액션
65,늑대소년,2012-10-31,"46,593,107,500",,"6,654,837",,706,한국,한국,씨제이이앤엠(주),판타지
66,미녀는 괴로워,2006-12-14,0,,"6,619,498",S,93,한국,한국,(주)쇼박스,드라마
67,군함도,2017-07-26,"50,510,565,168",,"6,592,151",,"2,027",한국,한국,씨제이이앤엠(주),액션
68,미션 임파서블: 폴아웃,2018-07-25,"55,888,375,112",,"6,584,915",,"1,957",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션
69,다크 나이트 라이즈,2012-07-19,"47,644,838,000",,"6,396,528",,"1,210",미국,"미국,영국",워너브러더스 코리아(주),액션
70,아저씨,2010-08-04,"47,870,792,359",,"6,282,774",,478,한국,한국,CJ ENM,액션
71,사도,2015-09-16,"48,842,902,501",,"6,246,849",,"1,210",한국,한국,(주)쇼박스,드라마
72,전우치,2009-12-23,"44,605,437,017",,"6,136,928",,606,한국,한국,CJ ENM,액션
